Organization,ID_CDC,Administration,Tested_Grade,STAAR_Math_Tests_Taken,STAAR_Math_Avg_Scale_Score,STAAR_Math_Did_Not_Meet_Count,STAAR_Math_Did_Not_Meet_Pct,STAAR_Math_Approaches_Above_Count,STAAR_Math_Approaches_Above_Pct,STAAR_Math_Meets_Above_Count,STAAR_Math_Meets_Above_Pct,STAAR_Math_Masters_Count,STAAR_Math_Masters_Pct,STAAR_Spanish_Math_Tests_Taken,STAAR_Spanish_Math_Avg_Scale_Score,STAAR_Spanish_Math_Did_Not_Meet_Count,STAAR_Spanish_Math_Did_Not_Meet_Pct,STAAR_Spanish_Math_Approaches_Above_Count,STAAR_Spanish_Math_Approaches_Above_Pct,STAAR_Spanish_Math_Meets_Above_Count,STAAR_Spanish_Math_Meets_Above_Pct,STAAR_Spanish_Math_Masters_Count,STAAR_Spanish_Math_Masters_Pct,STAAR_Reading_Tests_Taken,STAAR_Reading_Avg_Scale_Score,STAAR_Reading_Did_Not_Meet_Count,STAAR_Reading_Did_Not_Meet_Pct,STAAR_Reading_Approaches_Above_Count,STAAR_Reading_Approaches_Above_Pct,STAAR_Reading_Meets_Above_Count,STAAR_Reading_Meets_Above_Pct,STAAR_Reading_Masters_Count,STAAR_Reading_Masters_Pct,STAAR_Spanish_Reading_Tests_Taken,STAAR_Spanish_Reading_Avg_Scale_Score,STAAR_Spanish_Reading_Did_Not_Meet_Count,STAAR_Spanish_Reading_Did_Not_Meet_Pct,STAAR_Spanish_Reading_Approaches_Above_Count,STAAR_Spanish_Reading_Approaches_Above_Pct,STAAR_Spanish_Reading_Meets_Above_Count,STAAR_Spanish_Reading_Meets_Above_Pct,STAAR_Spanish_Reading_Masters_Count,STAAR_Spanish_Reading_Masters_Pct
REG 01 EDUCATION SERVICE CENTER,1,Spring 2025,3,29277,1448,9270,32,20007,68,12204,42,4686,16,893,1375,435,49,458,51,189,21,53,6,28088,1468,6732,24,21356,76,14001,50,6193,22,2088,S-1328,1023,49,1065,51,455,22,215,10
REG 01 EDUCATION SERVICE CENTER,1,Spring 2025,4,29864,1569,8789,29,21075,71,14247,48,7061,24,782,1484,393,50,389,50,192,25,70,9,28818,1560,5260,18,23558,82,16031,56,7489,26,1827,S-1422,841,46,986,54,650,36,256,14
REG 01 EDUCATION SERVICE CENTER,1,Spring 2025,5,29957,1644,7335,24,22622,76,14233,48,6354,21,707,1545,343,49,364,51,151,21,51,7,29138,1614,6564,23,22574,77,17172,59,9195,32,1534,S-1501,493,32,1041,68,576,38,212,14
REG 01 EDUCATION SERVICE CENTER,1,Spring 2025,6,30776,1704,9061,29,21715,71,10343,34,3525,11,,,,,,,,,,,30942,1639,8302,27,22640,73,16079,52,7961,26,,,,,,,,,,
REG 01 EDUCATION SERVICE CENTER,1,Spring 2025,7,28713,1757,13052,45,15661,55,9460,33,3111,11,,,,,,,,,,,31686,1662,8541,27,23145,73,16226,51,8173,26,,,,,,,,,,
REG 01 EDUCATION SERVICE CENTER,1,Spring 2025,8,23193,1867,6367,27,16826,73,11326,49,4058,17,,,,,,,,,,,30526,1711,6354,21,24172,79,16772,55,8387,27,,,,,,,,,,
REG 01 EDUCATION SERVICE CENTER,1,Spring 2024,3,29508,1441,9287,31,20221,69,11098,38,3607,12,977,1366,525,54,452,46,166,17,28,3,28125,1464,7001,25,21124,75,13894,49,6083,22,2362,S-1315,1250,53,1112,47,440,19,224,9
REG 01 EDUCATION SERVICE CENTER,1,Spring 2024,4,29694,1563,8605,29,21089,71,13837,47,6085,20,760,1468,417,55,343,45,159,21,37,5,28521,1560,5218,18,23303,82,15039,53,7080,25,1930,S-1439,851,44,1079,56,731,38,356,18
REG 01 EDUCATION SERVICE CENTER,1,Spring 2024,5,29670,1639,6192,21,23478,79,14773,50,4925,17,753,1553,334,44,419,56,198,26,42,6,28711,1605,6126,21,22585,79,15560,54,8210,29,1719,S-1491,555,32,1164,68,610,35,180,10
REG 01 EDUCATION SERVICE CENTER,1,Spring 2024,6,30846,1703,9708,31,21138,69,10576,34,2935,10,,,,,,,,,,,31280,1633,8666,28,22614,72,16422,53,7032,22,,,,,,,,,,
REG 01 EDUCATION SERVICE CENTER,1,Spring 2024,7,30146,1759,13285,44,16861,56,10054,33,3082,10,,,,,,,,,,,32044,1661,9107,28,22937,72,16283,51,8210,26,,,,,,,,,,
REG 01 EDUCATION SERVICE CENTER,1,Spring 2024,8,22634,1864,5404,24,17230,76,10627,47,3420,15,,,,,,,,,,,30506,1703,6717,22,23789,78,15763,52,7421,24,,,,,,,,,,
REG 01 EDUCATION SERVICE CENTER,1,Spring 2023,3,29371,1448,8097,28,21274,72,12321,42,4611,16,669,1387,293,44,376,56,161,24,35,5,27755,1457,6817,25,20938,75,13610,49,5820,21,2308,S-1344,1045,45,1263,55,649,28,375,16
REG 01 EDUCATION SERVICE CENTER,1,Spring 2023,4,28958,1557,8284,29,20674,71,13783,48,5976,21,694,1479,345,50,349,50,177,26,44,6,27511,1533,6209,23,21302,77,12708,46,5751,21,2138,S-1427,954,45,1184,55,783,37,406,19
REG 01 EDUCATION SERVICE CENTER,1,Spring 2023,5,29184,1645,5156,18,24028,82,15208,52,5477,19,587,1565,219,37,368,63,171,29,36,6,28003,1606,5289,19,22714,81,15909,57,8188,29,1790,S-1474,692,39,1098,61,583,33,249,14
REG 01 EDUCATION SERVICE CENTER,1,Spring 2023,6,30855,1698,8911,29,21944,71,10061,33,3200,10,,,,,,,,,,,31362,1623,8360,27,23002,73,15038,48,5898,19,,,,,,,,,,
REG 01 EDUCATION SERVICE CENTER,1,Spring 2023,7,30519,1756,12546,41,17973,59,10164,33,2973,10,,,,,,,,,,,31693,1666,7500,24,24193,76,16459,52,8079,25,,,,,,,,,,
REG 01 EDUCATION SERVICE CENTER,1,Spring 2023,8,23652,1853,5684,24,17968,76,10592,45,3205,14,,,,,,,,,,,31620,1708,5546,18,26074,82,17464,55,7495,24,,,,,,,,,,
REG 01 EDUCATION SERVICE CENTER,1,Spring 2022,3,28345,1428,8889,31,19456,69,11110,39,4987,18,608,1356,309,51,299,49,121,20,44,7,26526,1448,6355,24,20171,76,12949,49,7065,27,2433,S-1338,1123,46,1310,54,564,23,316,13
REG 01 EDUCATION SERVICE CENTER,1,Spring 2022,4,28341,1541,8682,31,19659,69,11549,41,5876,21,553,1445,335,61,218,39,73,13,29,5,26730,1537,6001,22,20729,78,13881,52,6893,26,2156,S-1413,1172,54,984,46,536,25,265,12
